UID,Display Name,Email,Plan,Status,Leads Scraped,Lead Limit,Daily Quota,Signup Date (UTC),Last Login Date (UTC)
"ind_usr_0786","Mayank Goyal","mayankg64@gmail.com","free","Active",7,15,15,"2026-08-13T23:59:55.247Z","2026-08-13T23:59:55.247Z"
"ind_usr_2276","Priya Chawla","priyac98@gmail.com","free","Active",15,15,15,"2026-08-13T23:59:48.630Z","2026-08-13T23:59:48.630Z"
"ind_usr_1915","Nisha Yadav","nyadav80@gmail.com","free","Active",8,15,15,"2026-08-13T23:58:12.273Z","2026-08-13T23:58:12.273Z"
"ind_usr_1909","Payal Kumar","iam.payalkumar@gmail.com","free","Active",14,15,15,"2026-08-13T23:55:46.192Z","2026-08-13T23:55:46.192Z"
"ind_usr_1811","Sunil Joshi","sunil.joshi@gmail.com","free","Active",10,15,15,"2026-08-13T23:53:06.797Z","2026-08-13T23:53:06.797Z"
"ind_usr_0061","Karan Patel","karan.patel@gmail.com","free","Active",7,15,15,"2026-08-13T23:52:54.216Z","2026-08-13T23:52:54.216Z"
"ind_usr_1919","Pooja Chawla","iam.poojachawla@gmail.com","free","Active",7,15,15,"2026-08-13T23:52:31.799Z","2026-08-13T23:52:31.799Z"
"ind_usr_2578","Rohit Sinha","rohit.sinha.work@gmail.com","free","Active",9,15,15,"2026-08-13T23:51:29.229Z","2026-08-13T23:51:29.229Z"
"ind_usr_3310","Ananya Chauhan","ananya_chauhan86@gmail.com","free","Active",12,15,15,"2026-08-13T23:49:36.730Z","2026-08-13T23:49:36.730Z"
"ind_usr_3108","Priya Chatterjee","priya.chatterjee.work@gmail.com","free","Active",15,15,15,"2026-08-13T23:49:22.660Z","2026-08-13T23:49:22.660Z"
"ind_usr_2678","Rajesh Bhatia","rajesh.bhatia.work@gmail.com","free","Active",15,15,15,"2026-08-13T23:46:51.103Z","2026-08-13T23:46:51.103Z"
"ind_usr_0543","Vandana Thakur","vandana_thakur@gmail.com","free","Active",7,15,15,"2026-08-13T23:45:40.165Z","2026-08-13T23:45:40.165Z"
"ind_usr_2914","Sneha Aggarwal","sneha.aggarwal.1993@gmail.com","free","Active",13,15,15,"2026-08-13T23:45:11.451Z","2026-08-13T23:45:11.451Z"
"ind_usr_2169","Priya Aggarwal","iam.priyaaggarwal@gmail.com","free","Active",10,15,15,"2026-08-13T23:36:06.669Z","2026-08-13T23:36:06.669Z"
"ind_usr_0251","Sunil Bhasin","sunil.bhasin@gmail.com","free","Active",5,15,15,"2026-08-13T23:28:33.257Z","2026-08-13T23:28:33.257Z"
"ind_usr_1790","Nitin Reddy","nitin_reddy26@gmail.com","free","Active",13,15,15,"2026-08-13T23:21:41.245Z","2026-08-13T23:21:41.245Z"
"ind_usr_0392","Arjun Mehta","arjunmehta81@gmail.com","free","Active",13,15,15,"2026-08-13T23:13:47.627Z","2026-08-13T23:13:47.627Z"
"ind_usr_0435","Priya Mishra","pmishra24@gmail.com","free","Active",4,15,15,"2026-08-13T23:10:14.201Z","2026-08-13T23:10:14.201Z"
"ind_usr_3110","Vikram Jain","vikram_jain66@gmail.com","free","Active",14,15,15,"2026-08-13T23:00:23.051Z","2026-08-13T23:00:23.051Z"
"ind_usr_0721","Nikhil Chauhan","nikhil.chauhan@gmail.com","free","Active",12,15,15,"2026-08-13T22:52:55.282Z","2026-08-13T22:52:55.282Z"
"ind_usr_3139","Siddharth Malhotra","iam.siddharthmalhotra@gmail.com","free","Active",10,15,15,"2026-08-13T22:46:52.458Z","2026-08-13T22:46:52.458Z"
"ind_usr_1863","Riya Ahuja","riya_ahuja@gmail.com","free","Active",10,15,15,"2026-08-13T22:45:06.237Z","2026-08-13T22:45:06.237Z"
"ind_usr_0249","Riya Jain","iam.riyajain@gmail.com","free","Active",14,15,15,"2026-08-13T22:42:15.410Z","2026-08-13T22:42:15.410Z"
"ind_usr_3386","Nitin Choudhury","nitinc74@gmail.com","free","Active",12,15,15,"2026-08-13T22:31:35.680Z","2026-08-13T22:31:35.680Z"
"ind_usr_3375","Vandana Pandey","vpandey40@gmail.com","free","Active",5,15,15,"2026-08-13T22:20:42.057Z","2026-08-13T22:20:42.057Z"
"ind_usr_2342","Saurabh Aggarwal","saurabhaggarwal73@gmail.com","free","Active",13,15,15,"2026-08-13T22:20:14.924Z","2026-08-13T22:20:14.924Z"
"ind_usr_3035","Jyoti Rathore","jrathore99@gmail.com","free","Active",4,15,15,"2026-08-13T22:14:14.598Z","2026-08-13T22:14:14.598Z"
"ind_usr_0302","Sunil Jain","suniljain76@gmail.com","free","Active",10,15,15,"2026-08-13T22:10:47.256Z","2026-08-13T22:10:47.256Z"
"ind_usr_0085","Sonia Joshi","sjoshi84@gmail.com","free","Active",8,15,15,"2026-08-13T21:49:02.320Z","2026-08-13T21:49:02.320Z"
"ind_usr_0838","Varun Rao","varun.rao.work@gmail.com","free","Active",10,15,15,"2026-08-13T21:43:50.292Z","2026-08-13T21:43:50.292Z"
"ind_usr_1000","Kiran Mishra","kiran_mishra95@gmail.com","free","Active",12,15,15,"2026-08-13T21:40:24.017Z","2026-08-13T21:40:24.017Z"
"ind_usr_2606","Monika Malhotra","monikam16@gmail.com","free","Active",11,15,15,"2026-08-13T21:40:04.529Z","2026-08-13T21:40:04.529Z"
"ind_usr_2533","Vivek Malhotra","vivek_malhotra@gmail.com","free","Active",14,15,15,"2026-08-13T21:37:27.859Z","2026-08-13T21:37:27.859Z"
"ind_usr_0273","Kiran Bhasin","kiran_bhasin@gmail.com","free","Active",11,15,15,"2026-08-13T21:31:55.684Z","2026-08-13T21:31:55.684Z"
"ind_usr_0736","Arjun Shah","arjuns40@gmail.com","free","Active",14,15,15,"2026-08-13T21:30:28.397Z","2026-08-13T21:30:28.397Z"
"ind_usr_2745","Tarun Dubey","tdubey89@gmail.com","free","Active",4,15,15,"2026-08-13T21:28:42.267Z","2026-08-13T21:28:42.267Z"
"ind_usr_1569","Kavya Aggarwal","iam.kavyaaggarwal@gmail.com","free","Active",15,15,15,"2026-08-13T21:21:05.502Z","2026-08-13T21:21:05.502Z"
"ind_usr_1626","Aakash Gupta","aakashg52@gmail.com","free","Active",7,15,15,"2026-08-13T21:19:20.828Z","2026-08-13T21:19:20.828Z"
"ind_usr_0029","Karan Pandey","iam.karanpandey@gmail.com","free","Active",5,15,15,"2026-08-13T21:14:20.954Z","2026-08-13T21:14:20.954Z"
"ind_usr_0588","Nitin Reddy","nitin.reddy.work@gmail.com","free","Active",15,15,15,"2026-08-13T21:13:57.487Z","2026-08-13T21:13:57.487Z"
"ind_usr_1587","Simran Tripathi","simrantripathi1995@gmail.com","free","Active",11,15,15,"2026-08-13T21:09:13.346Z","2026-08-13T21:09:13.346Z"
"ind_usr_1929","Priya Goyal","iam.priyagoyal@gmail.com","free","Active",3,15,15,"2026-08-13T21:07:15.769Z","2026-08-13T21:07:15.769Z"
"ind_usr_0011","Deepika Aggarwal","deepika.aggarwal@gmail.com","free","Active",6,15,15,"2026-08-13T21:04:56.644Z","2026-08-13T21:04:56.644Z"
"ind_usr_0095","Sonia Shah","sshah80@gmail.com","free","Active",10,15,15,"2026-08-13T21:03:29.279Z","2026-08-13T21:03:29.279Z"
